timestamp,road_segment_id,road_name,latitude,longitude,speed,volume,weather_condition,is_holiday_or_event
2026-03-01 00:00:00,SEG001,Hitech City Road,17.4483,78.3762,67.55,164.52,Cloudy,False
2026-03-01 01:00:00,SEG001,Hitech City Road,17.4483,78.3762,68.52,206.38,Clear,False
2026-03-01 02:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.42,178.31,Rain,False
2026-03-01 03:00:00,SEG001,Hitech City Road,17.4483,78.3762,44.71,243.54,Heavy Rain,False
2026-03-01 04:00:00,SEG001,Hitech City Road,17.4483,78.3762,61.33,181.67,Clear,False
2026-03-01 05:00:00,SEG001,Hitech City Road,17.4483,78.3762,47.21,520.88,Clear,False
2026-03-01 06:00:00,SEG001,Hitech City Road,17.4483,78.3762,50.7,399.28,Clear,False
2026-03-01 07:00:00,SEG001,Hitech City Road,17.4483,78.3762,40.96,512.77,Cloudy,False
2026-03-01 08:00:00,SEG001,Hitech City Road,17.4483,78.3762,44.49,586.4,Clear,False
2026-03-01 09:00:00,SEG001,Hitech City Road,17.4483,78.3762,15.3,728.25,Rain,True
2026-03-01 10:00:00,SEG001,Hitech City Road,17.4483,78.3762,48.24,595.14,Rain,False
2026-03-01 11:00:00,SEG001,Hitech City Road,17.4483,78.3762,49.83,440.32,Clear,False
2026-03-01 12:00:00,SEG001,Hitech City Road,17.4483,78.3762,23.4,455.45,Snow,False
2026-03-01 13:00:00,SEG001,Hitech City Road,17.4483,78.3762,43.8,591.56,Clear,False
2026-03-01 14:00:00,SEG001,Hitech City Road,17.4483,78.3762,39.55,589.05,Rain,False
2026-03-01 15:00:00,SEG001,Hitech City Road,17.4483,78.3762,39.54,787.15,Rain,False
2026-03-01 16:00:00,SEG001,Hitech City Road,17.4483,78.3762,49.43,471.15,Cloudy,False
2026-03-01 17:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.57,457.45,Clear,False
2026-03-01 18:00:00,SEG001,Hitech City Road,17.4483,78.3762,42.95,434.93,Rain,False
2026-03-01 19:00:00,SEG001,Hitech City Road,17.4483,78.3762,25.76,749.5,Heavy Rain,False
2026-03-01 20:00:00,SEG001,Hitech City Road,17.4483,78.3762,45.18,631.83,Rain,False
2026-03-01 21:00:00,SEG001,Hitech City Road,17.4483,78.3762,48.93,534.71,Clear,False
2026-03-01 22:00:00,SEG001,Hitech City Road,17.4483,78.3762,42.18,499.53,Clear,False
2026-03-01 23:00:00,SEG001,Hitech City Road,17.4483,78.3762,61.39,194.64,Clear,False
2026-03-02 00:00:00,SEG001,Hitech City Road,17.4483,78.3762,60.51,176.53,Cloudy,False
2026-03-02 01:00:00,SEG001,Hitech City Road,17.4483,78.3762,60.4,226.14,Clear,False
2026-03-02 02:00:00,SEG001,Hitech City Road,17.4483,78.3762,54.54,262.02,Clear,False
2026-03-02 03:00:00,SEG001,Hitech City Road,17.4483,78.3762,64.53,273.53,Cloudy,False
2026-03-02 04:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.59,228.87,Clear,False
2026-03-02 05:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.49,917.07,Clear,False
2026-03-02 06:00:00,SEG001,Hitech City Road,17.4483,78.3762,21.42,622.18,Snow,False
2026-03-02 07:00:00,SEG001,Hitech City Road,17.4483,78.3762,24.01,1181.62,Cloudy,False
2026-03-02 08:00:00,SEG001,Hitech City Road,17.4483,78.3762,24.81,1906.24,Rain,False
2026-03-02 09:00:00,SEG001,Hitech City Road,17.4483,78.3762,26.81,1656.76,Clear,False
2026-03-02 10:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.63,722.59,Clear,False
2026-03-02 11:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.63,984.56,Clear,False
2026-03-02 12:00:00,SEG001,Hitech City Road,17.4483,78.3762,26.9,1284.08,Heavy Rain,False
2026-03-02 13:00:00,SEG001,Hitech City Road,17.4483,78.3762,33.21,898.63,Cloudy,False
2026-03-02 14:00:00,SEG001,Hitech City Road,17.4483,78.3762,27.24,993.35,Heavy Rain,False
2026-03-02 15:00:00,SEG001,Hitech City Road,17.4483,78.3762,45.41,561.49,Clear,False
2026-03-02 16:00:00,SEG001,Hitech City Road,17.4483,78.3762,44.01,842.85,Cloudy,False
2026-03-02 17:00:00,SEG001,Hitech City Road,17.4483,78.3762,25.83,1475.62,Cloudy,False
2026-03-02 18:00:00,SEG001,Hitech City Road,17.4483,78.3762,20.68,1479.58,Clear,False
2026-03-02 19:00:00,SEG001,Hitech City Road,17.4483,78.3762,12.28,1343.12,Snow,False
2026-03-02 20:00:00,SEG001,Hitech City Road,17.4483,78.3762,42.62,861.59,Clear,False
2026-03-02 21:00:00,SEG001,Hitech City Road,17.4483,78.3762,45.44,916.24,Clear,False
2026-03-02 22:00:00,SEG001,Hitech City Road,17.4483,78.3762,35.56,836.75,Rain,False
2026-03-02 23:00:00,SEG001,Hitech City Road,17.4483,78.3762,56.21,187.31,Clear,False
2026-03-03 00:00:00,SEG001,Hitech City Road,17.4483,78.3762,30.12,199.52,Snow,False
2026-03-03 01:00:00,SEG001,Hitech City Road,17.4483,78.3762,29.26,185.24,Snow,False
2026-03-03 02:00:00,SEG001,Hitech City Road,17.4483,78.3762,50.22,224.86,Clear,False
2026-03-03 03:00:00,SEG001,Hitech City Road,17.4483,78.3762,56.5,211.12,Cloudy,False
2026-03-03 04:00:00,SEG001,Hitech City Road,17.4483,78.3762,57.56,254.55,Clear,False
2026-03-03 05:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.49,820.95,Clear,False
