timestamp,road_segment_id,road_name,latitude,longitude,speed,volume,weather_condition,is_holiday_or_event,hour,day_of_week,is_weekend,month,speed_lag_1,volume_lag_1,speed_rolling_mean,volume_rolling_mean,weather_encoded,segment_encoded,congestion_level,congestion_encoded
2026-03-01 00:00:00,SEG001,Hitech City Road,17.4483,78.3762,67.55,164.52,Cloudy,False,0,6,1,3,67.55,164.52,67.55,164.52,1,0,Free Flow,0
2026-03-01 01:00:00,SEG001,Hitech City Road,17.4483,78.3762,68.52,206.38,Clear,False,1,6,1,3,67.55,164.52,68.035,185.45,0,0,Free Flow,0
2026-03-01 02:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.42,178.31,Rain,False,2,6,1,3,68.52,206.38,63.163333333333334,183.07000000000002,3,0,Free Flow,0
2026-03-01 03:00:00,SEG001,Hitech City Road,17.4483,78.3762,44.71,243.54,Heavy Rain,False,3,6,1,3,53.42,178.31,55.550000000000004,209.41,2,0,Moderate,2
2026-03-01 04:00:00,SEG001,Hitech City Road,17.4483,78.3762,61.33,181.67,Clear,False,4,6,1,3,44.71,243.54,53.153333333333336,201.17333333333332,0,0,Free Flow,0
2026-03-01 05:00:00,SEG001,Hitech City Road,17.4483,78.3762,47.21,520.88,Clear,False,5,6,1,3,61.33,181.67,51.083333333333336,315.3633333333333,0,0,Moderate,2
2026-03-01 06:00:00,SEG001,Hitech City Road,17.4483,78.3762,50.7,399.28,Clear,False,6,6,1,3,47.21,520.88,53.080000000000005,367.27666666666664,0,0,Free Flow,0
2026-03-01 07:00:00,SEG001,Hitech City Road,17.4483,78.3762,40.96,512.77,Cloudy,False,7,6,1,3,50.7,399.28,46.29,477.64333333333326,1,0,Moderate,2
2026-03-01 08:00:00,SEG001,Hitech City Road,17.4483,78.3762,44.49,586.4,Clear,False,8,6,1,3,40.96,512.77,45.38333333333333,499.4833333333333,0,0,Moderate,2
2026-03-01 09:00:00,SEG001,Hitech City Road,17.4483,78.3762,15.3,728.25,Rain,True,9,6,1,3,44.49,586.4,33.583333333333336,609.14,3,0,Severe,3
2026-03-01 10:00:00,SEG001,Hitech City Road,17.4483,78.3762,48.24,595.14,Rain,False,10,6,1,3,15.3,728.25,36.01,636.5966666666667,3,0,Moderate,2
2026-03-01 11:00:00,SEG001,Hitech City Road,17.4483,78.3762,49.83,440.32,Clear,False,11,6,1,3,48.24,595.14,37.79,587.9033333333333,0,0,Moderate,2
2026-03-01 12:00:00,SEG001,Hitech City Road,17.4483,78.3762,23.4,455.45,Snow,False,12,6,1,3,49.83,440.32,40.49,496.97,4,0,Severe,3
2026-03-01 13:00:00,SEG001,Hitech City Road,17.4483,78.3762,43.8,591.56,Clear,False,13,6,1,3,23.4,455.45,39.01,495.77666666666664,0,0,Moderate,2
2026-03-01 14:00:00,SEG001,Hitech City Road,17.4483,78.3762,39.55,589.05,Rain,False,14,6,1,3,43.8,591.56,35.583333333333336,545.3533333333334,3,0,Heavy,1
2026-03-01 15:00:00,SEG001,Hitech City Road,17.4483,78.3762,39.54,787.15,Rain,False,15,6,1,3,39.55,589.05,40.96333333333333,655.92,3,0,Heavy,1
2026-03-01 16:00:00,SEG001,Hitech City Road,17.4483,78.3762,49.43,471.15,Cloudy,False,16,6,1,3,39.54,787.15,42.84,615.7833333333333,1,0,Moderate,2
2026-03-01 17:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.57,457.45,Clear,False,17,6,1,3,49.43,471.15,47.51333333333333,571.9166666666666,0,0,Free Flow,0
2026-03-01 18:00:00,SEG001,Hitech City Road,17.4483,78.3762,42.95,434.93,Rain,False,18,6,1,3,53.57,457.45,48.65,454.51,3,0,Moderate,2
2026-03-01 19:00:00,SEG001,Hitech City Road,17.4483,78.3762,25.76,749.5,Heavy Rain,False,19,6,1,3,42.95,434.93,40.76,547.2933333333334,2,0,Heavy,1
2026-03-01 20:00:00,SEG001,Hitech City Road,17.4483,78.3762,45.18,631.83,Rain,False,20,6,1,3,25.76,749.5,37.96333333333333,605.42,3,0,Moderate,2
2026-03-01 21:00:00,SEG001,Hitech City Road,17.4483,78.3762,48.93,534.71,Clear,False,21,6,1,3,45.18,631.83,39.95666666666667,638.68,0,0,Moderate,2
2026-03-01 22:00:00,SEG001,Hitech City Road,17.4483,78.3762,42.18,499.53,Clear,False,22,6,1,3,48.93,534.71,45.43,555.3566666666667,0,0,Moderate,2
2026-03-01 23:00:00,SEG001,Hitech City Road,17.4483,78.3762,61.39,194.64,Clear,False,23,6,1,3,42.18,499.53,50.833333333333336,409.6266666666667,0,0,Free Flow,0
2026-03-02 00:00:00,SEG001,Hitech City Road,17.4483,78.3762,60.51,176.53,Cloudy,False,0,0,0,3,61.39,194.64,54.69333333333333,290.2333333333333,1,0,Free Flow,0
2026-03-02 01:00:00,SEG001,Hitech City Road,17.4483,78.3762,60.4,226.14,Clear,False,1,0,0,3,60.51,176.53,60.76666666666667,199.10333333333332,0,0,Free Flow,0
2026-03-02 02:00:00,SEG001,Hitech City Road,17.4483,78.3762,54.54,262.02,Clear,False,2,0,0,3,60.4,226.14,58.48333333333333,221.5633333333333,0,0,Free Flow,0
2026-03-02 03:00:00,SEG001,Hitech City Road,17.4483,78.3762,64.53,273.53,Cloudy,False,3,0,0,3,54.54,262.02,59.82333333333333,253.89666666666665,1,0,Free Flow,0
2026-03-02 04:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.59,228.87,Clear,False,4,0,0,3,64.53,273.53,57.553333333333335,254.80666666666664,0,0,Free Flow,0
2026-03-02 05:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.49,917.07,Clear,False,5,0,0,3,53.59,228.87,54.870000000000005,473.1566666666667,0,0,Heavy,1
2026-03-02 06:00:00,SEG001,Hitech City Road,17.4483,78.3762,21.42,622.18,Snow,False,6,0,0,3,46.49,917.07,40.5,589.3733333333333,4,0,Severe,3
2026-03-02 07:00:00,SEG001,Hitech City Road,17.4483,78.3762,24.01,1181.62,Cloudy,False,7,0,0,3,21.42,622.18,30.64,906.9566666666666,1,0,Severe,3
2026-03-02 08:00:00,SEG001,Hitech City Road,17.4483,78.3762,24.81,1906.24,Rain,False,8,0,0,3,24.01,1181.62,23.413333333333338,1236.68,3,0,Severe,3
2026-03-02 09:00:00,SEG001,Hitech City Road,17.4483,78.3762,26.81,1656.76,Clear,False,9,0,0,3,24.81,1906.24,25.209999999999997,1581.54,0,0,Severe,3
2026-03-02 10:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.63,722.59,Clear,False,10,0,0,3,26.81,1656.76,32.75,1428.53,0,0,Moderate,2
2026-03-02 11:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.63,984.56,Clear,False,11,0,0,3,46.63,722.59,40.02333333333333,1121.3033333333335,0,0,Heavy,1
2026-03-02 12:00:00,SEG001,Hitech City Road,17.4483,78.3762,26.9,1284.08,Heavy Rain,False,12,0,0,3,46.63,984.56,40.053333333333335,997.0766666666667,2,0,Severe,3
2026-03-02 13:00:00,SEG001,Hitech City Road,17.4483,78.3762,33.21,898.63,Cloudy,False,13,0,0,3,26.9,1284.08,35.580000000000005,1055.7566666666667,1,0,Heavy,1
2026-03-02 14:00:00,SEG001,Hitech City Road,17.4483,78.3762,27.24,993.35,Heavy Rain,False,14,0,0,3,33.21,898.63,29.116666666666664,1058.6866666666667,2,0,Heavy,1
2026-03-02 15:00:00,SEG001,Hitech City Road,17.4483,78.3762,45.41,561.49,Clear,False,15,0,0,3,27.24,993.35,35.28666666666666,817.8233333333334,0,0,Moderate,2
2026-03-02 16:00:00,SEG001,Hitech City Road,17.4483,78.3762,44.01,842.85,Cloudy,False,16,0,0,3,45.41,561.49,38.88666666666666,799.23,1,0,Moderate,2
2026-03-02 17:00:00,SEG001,Hitech City Road,17.4483,78.3762,25.83,1475.62,Cloudy,False,17,0,0,3,44.01,842.85,38.416666666666664,959.9866666666667,1,0,Severe,3
2026-03-02 18:00:00,SEG001,Hitech City Road,17.4483,78.3762,20.68,1479.58,Clear,False,18,0,0,3,25.83,1475.62,30.17333333333333,1266.0166666666667,0,0,Severe,3
2026-03-02 19:00:00,SEG001,Hitech City Road,17.4483,78.3762,12.28,1343.12,Snow,False,19,0,0,3,20.68,1479.58,19.596666666666664,1432.7733333333333,4,0,Severe,3
2026-03-02 20:00:00,SEG001,Hitech City Road,17.4483,78.3762,42.62,861.59,Clear,False,20,0,0,3,12.28,1343.12,25.193333333333328,1228.0966666666666,0,0,Moderate,2
2026-03-02 21:00:00,SEG001,Hitech City Road,17.4483,78.3762,45.44,916.24,Clear,False,21,0,0,3,42.62,861.59,33.446666666666665,1040.3166666666666,0,0,Heavy,1
2026-03-02 22:00:00,SEG001,Hitech City Road,17.4483,78.3762,35.56,836.75,Rain,False,22,0,0,3,45.44,916.24,41.20666666666666,871.5266666666666,3,0,Heavy,1
2026-03-02 23:00:00,SEG001,Hitech City Road,17.4483,78.3762,56.21,187.31,Clear,False,23,0,0,3,35.56,836.75,45.73666666666667,646.7666666666667,0,0,Free Flow,0
2026-03-03 00:00:00,SEG001,Hitech City Road,17.4483,78.3762,30.12,199.52,Snow,False,0,1,0,3,56.21,187.31,40.63,407.85999999999996,4,0,Heavy,1
2026-03-03 01:00:00,SEG001,Hitech City Road,17.4483,78.3762,29.26,185.24,Snow,False,1,1,0,3,30.12,199.52,38.529999999999994,190.69000000000003,4,0,Heavy,1
2026-03-03 02:00:00,SEG001,Hitech City Road,17.4483,78.3762,50.22,224.86,Clear,False,2,1,0,3,29.26,185.24,36.53333333333333,203.20666666666668,0,0,Free Flow,0
2026-03-03 03:00:00,SEG001,Hitech City Road,17.4483,78.3762,56.5,211.12,Cloudy,False,3,1,0,3,50.22,224.86,45.32666666666666,207.07333333333335,1,0,Free Flow,0
2026-03-03 04:00:00,SEG001,Hitech City Road,17.4483,78.3762,57.56,254.55,Clear,False,4,1,0,3,56.5,211.12,54.76,230.1766666666667,0,0,Free Flow,0
2026-03-03 05:00:00,SEG001,Hitech City Road,17.4483,78.3762,53.49,820.95,Clear,False,5,1,0,3,57.56,254.55,55.85,428.8733333333334,0,0,Moderate,2
2026-03-03 06:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.16,791.07,Clear,False,6,1,0,3,53.49,820.95,52.403333333333336,622.19,0,0,Moderate,2
2026-03-03 07:00:00,SEG001,Hitech City Road,17.4483,78.3762,13.09,1864.55,Heavy Rain,False,7,1,0,3,46.16,791.07,37.58,1158.8566666666666,2,0,Severe,3
2026-03-03 08:00:00,SEG001,Hitech City Road,17.4483,78.3762,27.16,1972.06,Cloudy,False,8,1,0,3,13.09,1864.55,28.80333333333333,1542.5600000000002,1,0,Severe,3
2026-03-03 09:00:00,SEG001,Hitech City Road,17.4483,78.3762,15.89,1956.67,Heavy Rain,False,9,1,0,3,27.16,1972.06,18.71333333333333,1931.0933333333332,2,0,Severe,3
2026-03-03 10:00:00,SEG001,Hitech City Road,17.4483,78.3762,44.84,659.76,Clear,False,10,1,0,3,15.89,1956.67,29.296666666666667,1529.4966666666667,0,0,Moderate,2
2026-03-03 11:00:00,SEG001,Hitech City Road,17.4483,78.3762,50.14,890.23,Cloudy,False,11,1,0,3,44.84,659.76,36.95666666666667,1168.8866666666665,1,0,Moderate,2
2026-03-03 12:00:00,SEG001,Hitech City Road,17.4483,78.3762,41.28,759.96,Rain,False,12,1,0,3,50.14,890.23,45.419999999999995,769.9833333333332,3,0,Moderate,2
2026-03-03 13:00:00,SEG001,Hitech City Road,17.4483,78.3762,43.62,694.96,Rain,False,13,1,0,3,41.28,759.96,45.01333333333333,781.7166666666666,3,0,Moderate,2
2026-03-03 14:00:00,SEG001,Hitech City Road,17.4483,78.3762,47.64,1062.85,Clear,False,14,1,0,3,43.62,694.96,44.18,839.2566666666665,0,0,Heavy,1
2026-03-03 15:00:00,SEG001,Hitech City Road,17.4483,78.3762,40.54,732.04,Clear,False,15,1,0,3,47.64,1062.85,43.93333333333333,829.9499999999998,0,0,Moderate,2
2026-03-03 16:00:00,SEG001,Hitech City Road,17.4483,78.3762,27.27,961.46,Heavy Rain,False,16,1,0,3,40.54,732.04,38.48333333333333,918.7833333333332,2,0,Heavy,1
2026-03-03 17:00:00,SEG001,Hitech City Road,17.4483,78.3762,19.01,1616.46,Clear,False,17,1,0,3,27.27,961.46,28.939999999999998,1103.32,0,0,Severe,3
2026-03-03 18:00:00,SEG001,Hitech City Road,17.4483,78.3762,12.07,2227.76,Heavy Rain,False,18,1,0,3,19.01,1616.46,19.45,1601.8933333333334,2,0,Severe,3
2026-03-03 19:00:00,SEG001,Hitech City Road,17.4483,78.3762,20.43,1971.98,Clear,False,19,1,0,3,12.07,2227.76,17.169999999999998,1938.7333333333336,0,0,Severe,3
2026-03-03 20:00:00,SEG001,Hitech City Road,17.4483,78.3762,41.48,761.35,Clear,False,20,1,0,3,20.43,1971.98,24.659999999999997,1653.6966666666667,0,0,Moderate,2
2026-03-03 21:00:00,SEG001,Hitech City Road,17.4483,78.3762,41.36,717.53,Rain,False,21,1,0,3,41.48,761.35,34.42333333333333,1150.2866666666666,3,0,Moderate,2
2026-03-03 22:00:00,SEG001,Hitech City Road,17.4483,78.3762,46.02,956.86,Clear,False,22,1,0,3,41.36,717.53,42.953333333333326,811.9133333333333,0,0,Heavy,1
2026-03-03 23:00:00,SEG001,Hitech City Road,17.4483,78.3762,49.1,246.65,Clear,False,23,1,0,3,46.02,956.86,45.49333333333334,640.3466666666667,0,0,Moderate,2
2026-03-04 00:00:00,SEG001,Hitech City Road,17.4483,78.3762,60.02,268.15,Clear,False,0,2,0,3,49.1,246.65,51.71333333333334,490.55333333333334,0,0,Free Flow,0
2026-03-04 01:00:00,SEG001,Hitech City Road,17.4483,78.3762,51.26,192.46,Cloudy,False,1,2,0,3,60.02,268.15,53.46,235.75333333333333,1,0,Free Flow,0
2026-03-04 02:00:00,SEG001,Hitech City Road,17.4483,78.3762,61.55,250.69,Clear,False,2,2,0,3,51.26,192.46,57.60999999999999,237.1,0,0,Free Flow,0
